name,class
利福定胶囊,中成药
利福平异烟肼胶囊,中成药
利福平片,中成药
利福平胶囊,中成药
利福昔明片,中成药
利福昔明胶囊,中成药
利福昔明软胶囊,中成药
利肝和胃丸,中成药
利肝片,中成药
利肝隆片,中成药
利肝隆颗粒,中成药
利肺片,中成药
利肺胶囊,中成药
利胆八味散,中成药
利胆排石散,中成药
利胆排石片,中成药
利胆排石胶囊,中成药
利胆止痛片,中成药
利胆清丸,中成药
利胆片,中成药
利胆解毒胶囊,中成药
利脑心片,中成药
利脑心胶囊,中成药
利膈丸,中成药
利舒康胶囊,中成药
利血平片,中成药
利鼻片,中成药
制金柑丸,中成药
制银灵片,中成药
制首乌颗粒,中成药
刺五加注射液,中成药
刺五加片,中成药
刺五加胶囊,中成药
刺五加脑灵液,中成药
刺五加脑灵胶囊,中成药
刺五加颗粒,中成药
前列倍喜胶囊,中成药
前列回春丸,中成药
前列回春片,中成药
前列回春胶囊,中成药
前列宁胶囊,中成药
前列安栓,中成药
前列安通片,中成药
前列平胶囊,中成药
前列康片,中成药
前列康舒胶囊,中成药
前列欣胶囊,中成药
前列泰片,中成药
前列泰胶囊,中成药
前列泰颗粒,中成药
前列消胶囊,中成药
前列癃闭通胶囊,中成药
前列舒丸,中成药
前列舒乐片,中成药
前列舒乐胶囊,中成药
前列舒乐软胶囊,中成药
前列舒乐颗粒,中成药
前列舒通胶囊,中成药
前列解毒胶囊,中成药
前列通栓,中成药
前列通片,中成药
前列通瘀片,中成药
前列通瘀胶囊,中成药
前列通胶囊,中成药
前列金丹片,中成药
前列闭尔通栓,中成药
力加寿片,中成药
力补金秋胶囊,中成药
功劳去火片,中成药
功劳去火胶囊,中成药
加减葳蕤汤,中成药
加味乌药汤,中成药
加味保和丸,中成药
加味天麻胶囊,中成药
加味左金丸,中成药
加味感冒丸,中成药
加味益母草膏,中成药
加味藿香正气丸,中成药
加味藿香正气软胶囊,中成药
加味逍遥丸,中成药
加味逍遥口服液,中成药
加味逍遥片,中成药
加味逍遥胶囊,中成药
加味逍遥颗粒,中成药
加味银翘片,中成药
加味青娥丸,中成药
加巴喷丁胶囊,中成药
助消膏,中成药
勒马回片,中成药
化核膏药,中成药
化毒丸,中成药
化毒丹,中成药
化毒丹丸,中成药
化滞柔肝颗粒,中成药
化症回生口服液,中成药
化症回生片,中成药
化痔栓,中成药
化痔灵片,中成药
化痔片,中成药
化痔胶囊,中成药
化痰平喘片,中成药
化痰消咳片,中成药
化瘀丸,中成药
化瘀散结灌肠液,中成药
化瘀祛斑片,中成药
化瘀舒经胶囊,中成药
化积口服液,中成药
化积片,中成药
化积颗粒,中成药
化虫丸,中成药
化风丹,中成药
北豆根胶囊,中成药
医痫丸,中成药
十一味参芪胶囊,中成药
十一味甘露丸,中成药
十一味甘露胶囊,中成药
十一味能消胶囊,中成药
十一味黄精颗粒,中成药
